Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price
Elwood,76 Byron St,3,h,S,Buxton,11/2/2017,7.7,3184.0,3.0,2.0,1.0,116.0,119,1996.0,Port Phillip City Council,-37.8789,144.9836,Southern Metropolitan,8989.0,Underground,1238000.0
Keysborough,33 Turramurra Dr,4,h,S,Barry,1/7/2017,25.2,3173.0,4.0,1.0,2.0,680.0,170,1970.0,Greater Dandenong City Council,-37.9865,145.16767,South-Eastern Metropolitan,8459.0,Attached Garage,761000.0
Maidstone,2/166 Mitchell St,4,t,S,Jas,29/07/2017,6.4,3012.0,4.0,3.0,2.0,294.0,151.0,2014.0,Maribyrnong City Council,-37.78133,144.86768,Western Metropolitan,3873.0,Underground,821000.0
Hawthorn,9/63 Berkeley St,2,u,S,hockingstuart,10/12/2016,4.6,3122.0,2.0,1.0,1.0,0.0,78,1960.0,Boroondara City Council,-37.8343,145.0364,Southern Metropolitan,11308.0,Attached Garage,655000.0
Footscray,211A Ballarat Rd,2,h,PI,Burnham,11/2/2017,6.4,3011.0,2.0,1.0,2.0,657.0,92,1940.0,Maribyrnong City Council,-37.7909,144.8884,Western Metropolitan,7570.0,Detached Garage,950000.0
Lalor,2/7 Cooma Ct,2,u,S,HAR,29/07/2017,16.3,3075.0,2.0,1.0,1.0,277.0,100.0,1980.0,Whittlesea City Council,-37.66612,145.0008,Northern Metropolitan,8279.0,Parkade,444000.0
Ascot Vale,1/17 Epsom Rd,2,u,S,Brad,7/11/2016,5.9,3032.0,2.0,1.0,2.0,228.0,90,1995.0,Moonee Valley City Council,-37.7718,144.9066,Western Metropolitan,6567.0,Parkade,685000.0
Thornbury,98 Hutton St,3,h,VB,Nelson,24/02/2018,7.0,3071.0,3.0,1.0,1.0,393.0,98,1920.0,Darebin City Council,-37.75468,144.98959,Northern Metropolitan,8870.0,Attached Garage,1200000.0
Jacana,147 Sunset Bvd,3,h,PI,Barry,7/5/2016,14.5,3047.0,3.0,1.0,2.0,600.0,110,1950.0,Hume City Council,-37.6866,144.9086,Northern Metropolitan,851.0,Attached Garage,350000.0
Collingwood,130 Keele St,2,h,S,LITTLE,3/9/2016,1.6,3066.0,2.0,1.0,1.0,178.0,70,1900.0,Yarra City Council,-37.7974,144.9915,Northern Metropolitan,4553.0,Carport,890000.0
Strathmore,61 Mascoma St,3,h,SP,Nelson,15/10/2016,9.7,3041.0,3.0,2.0,3.0,696.0,164,1950.0,Moonee Valley City Council,-37.7261,144.9171,Western Metropolitan,3284.0,Detached Garage,1150000.0
Airport West,34 Green St,3,h,S,Nelson,9/9/2017,10.4,3042.0,3.0,2.0,1.0,697.0,163,2017.0,Moonee Valley City Council,-37.72812,144.88735,Western Metropolitan,3464.0,Parkade,1000001.0
Preston,5/49 Austral Av,1,u,PI,hockingstuart,22/07/2017,8.4,3072.0,1.0,1.0,1.0,631.0,34,1965.0,Darebin City Council,-37.74495,144.99322,Northern Metropolitan,14577.0,Attached Garage,250000.0
Travancore,61 Mooltan St,3,h,S,Jellis,13/08/2016,5.3,3032.0,3.0,2.0,1.0,337.0,153,1930.0,Moonee Valley City Council,-37.7813,144.9371,Western Metropolitan,1052.0,Parkade,1257000.0
Pascoe Vale,25 Rhodes Pde,3,h,VB,Nelson,16/09/2017,8.5,3044.0,3.0,1.0,1.0,712.0,133,1940.0,Moreland City Council,-37.71594,144.92986,Northern Metropolitan,7485.0,Indoor,850000.0
Ascot Vale,37 Roxburgh St,3,h,S,Jellis,15/07/2017,4.3,3032.0,3.0,1.0,0.0,199.0,126,1900.0,Moonee Valley City Council,-37.77561,144.91695,Western Metropolitan,6567.0,Outdoor Stall,1306000.0
St Kilda,8/289 Barkly St,2,u,VB,McGrath,15/07/2017,5.0,3182.0,2.0,1.0,0.0,0.0,67,1950.0,Port Phillip City Council,-37.87349,144.9798,Southern Metropolitan,13240.0,Attached Garage,470000.0
Cremorne,301/163 Cremorne St,1,u,PI,hockingstuart,6/8/2016,2.5,3121.0,1.0,1.0,1.0,0.0,52,2007.0,Yarra City Council,-37.8301,144.9904,Northern Metropolitan,1123.0,Underground,425000.0
Notting Hill,3 Risdon Dr,4,h,S,One,15/07/2017,16.7,3168.0,4.0,3.0,3.0,727.0,167,1970.0,Monash City Council,-37.90779,145.15042,Southern Metropolitan,902.0,Attached Garage,1211000.0
Airport West,13 Etzel St,3,h,S,Nelson,10/12/2016,13.5,3042.0,3.0,1.0,1.0,0.0,105,1950.0,Moonee Valley City Council,-37.7217,144.8783,Western Metropolitan,3464.0,Parkade,805000.0
Ascot Vale,4 The Parade,2,h,SP,Raine,7/5/2016,5.9,3032.0,2.0,1.0,1.0,173.0,102,1900.0,Moonee Valley City Council,-37.7731,144.9206,Western Metropolitan,6567.0,Detached Garage,950000.0
Maidstone,3 Crefden St,3,t,S,Jas,3/9/2016,9.2,3012.0,3.0,2.0,2.0,165.0,161,2007.0,Maribyrnong City Council,-37.7773,144.8725,Western Metropolitan,3873.0,Carport,615000.0
Doncaster East,45 Elizabeth St,4,h,S,Jellis,22/07/2017,14.3,3109.0,4.0,3.0,2.0,417.0,203,1980.0,Manningham City Council,-37.79223,145.14606,Eastern Metropolitan,10999.0,Carport,1385000.0
Thornbury,33 Clarendon St,3,h,PI,Jellis,14/10/2017,7.0,3071.0,3.0,1.0,1.0,353.0,110,1920.0,Darebin City Council,-37.75965,145.00284,Northern Metropolitan,8870.0,Attached Garage,1370000.0
Northcote,221 Mitchell St,4,h,VB,Jellis,10/3/2018,5.3,3070.0,4.0,1.0,2.0,486.0,156,1940.0,Darebin City Council,-37.77373,145.01414,Northern Metropolitan,11364.0,Attached Garage,1700000.0
Reservoir,1/15 Chenies St,3,u,VB,hockingstuart,22/05/2016,11.2,3073.0,3.0,1.0,2.0,179.0,108,2002.0,Darebin City Council,-37.7108,145.0289,Northern Metropolitan,21650.0,Indoor,450000.0
Malvern East,431 Wattletree Rd,3,h,PI,Jellis,12/8/2017,8.4,3145.0,3.0,3.0,3.0,1011.0,206,1925.0,Stonnington City Council,-37.8652,145.05248,Southern Metropolitan,8801.0,Detached Garage,2500000.0
Ascot Vale,63 Kent St,2,h,PI,Nelson,7/5/2016,5.9,3032.0,2.0,1.0,1.0,118.0,79,1890.0,Moonee Valley City Council,-37.7807,144.9288,Western Metropolitan,6567.0,Carport,751000.0
Avondale Heights,3 Karen Ct,3,h,SP,Moonee,11/11/2017,9.5,3034.0,3.0,2.0,2.0,668.0,153,1980.0,Moonee Valley City Council,-37.7593,144.871,Western Metropolitan,4502.0,Detached Garage,1100000.0
Hillside,3 Silvana Wy,3,h,S,Barry,19/08/2017,18.0,3037.0,3.0,1.0,1.0,318.0,118,2003.0,Brimbank City Council,-37.70388,144.75259,Western Metropolitan,5556.0,Indoor,478000.0
Dingley Village,22 Bayville Dr,5,h,S,Buxton,28/10/2017,22.2,3172.0,5.0,3.0,2.0,544.0,292.0,2016.0,Kingston City Council,-37.98665,145.12308,South-Eastern Metropolitan,3940.0,Indoor,1526000.0
Pascoe Vale,12 Coane St,3,h,S,hockingstuart,25/02/2017,9.9,3044.0,3.0,1.0,2.0,641.0,111,1950.0,Moreland City Council,-37.7253,144.938,Northern Metropolitan,7485.0,Detached Garage,960000.0
Keilor East,12 Cecelia Dr,3,h,S,Nelson,13/05/2017,12.8,3033.0,3.0,1.0,1.0,535.0,134,1980.0,Brimbank City Council,-37.7475,144.852,Western Metropolitan,5629.0,Carport,745000.0
Thornbury,45A Harold St,3,h,S,Jellis,25/02/2017,6.5,3071.0,3.0,1.0,1.0,253.0,130,1910.0,Darebin City Council,-37.7566,144.9965,Northern Metropolitan,8870.0,Parkade,1280000.0
Canterbury,5 Dorothea St,2,h,S,Jellis,8/10/2016,9.0,3126.0,2.0,1.0,1.0,342.0,104,1945.0,Boroondara City Council,-37.8326,145.081,Southern Metropolitan,3265.0,Carport,1305000.0
Fitzroy North,7/110 Miller St,1,u,S,Nelson,6/5/2017,3.5,3068.0,1.0,1.0,1.0,0.0,32,1970.0,Moreland City Council,-37.777,144.9836,Northern Metropolitan,6244.0,Outdoor Stall,330000.0
Chadstone,23 Jacana St,3,h,SP,Thomson,27/11/2016,13.6,3148.0,3.0,1.0,2.0,630.0,105,1960.0,Monash City Council,-37.8838,145.102,Southern Metropolitan,3582.0,Indoor,1000000.0
Bentleigh East,105A MacKie Rd,4,t,S,Jellis,3/3/2018,13.8,3165.0,4.0,3.0,2.0,354.0,252,2014.0,Glen Eira City Council,-37.91372,145.07488,Southern Metropolitan,10969.0,Carport,1282000.0
Ashburton,33 Highgate Gr,4,h,PI,hockingstuart,28/05/2016,11.0,3147.0,4.0,2.0,2.0,514.0,240,1935.0,Boroondara City Council,-37.8664,145.0772,Southern Metropolitan,3052.0,Parkade,1790000.0
Brighton East,13 Churchill Ct,4,h,S,Buxton,24/06/2017,10.3,3187.0,4.0,2.0,2.0,725.0,300,2000.0,Bayside City Council,-37.92884,145.01518,Southern Metropolitan,6938.0,Carport,2525000.0
Croydon,45 Norris Cct,4,h,SP,McGrath,3/2/2018,23.0,3136.0,4.0,2.0,2.0,540.0,257,2010.0,Maroondah City Council,-37.77749,145.29973,Eastern Metropolitan,11925.0,Carport,1060000.0
Elwood,6/217 Brighton Rd,2,u,S,Wilson,3/12/2016,7.7,3184.0,2.0,1.0,1.0,553.0,83,1960.0,Port Phillip City Council,-37.8802,144.9942,Southern Metropolitan,8989.0,Carport,525000.0
Armadale,8/19 Mercer Rd,2,u,S,Jellis,3/9/2016,6.3,3143.0,2.0,1.0,1.0,0.0,76,1964.0,Stonnington City Council,-37.8543,145.0262,Southern Metropolitan,4836.0,Underground,599000.0
Sunshine,43 Duke St,3,h,S,Douglas,17/06/2017,10.5,3020.0,3.0,1.0,2.0,631.0,115,1965.0,Brimbank City Council,-37.78956,144.84526,Western Metropolitan,3755.0,Parkade,805000.0
Blackburn South,14 Indra Rd,3,h,S,Noel,24/06/2017,13.4,3130.0,3.0,1.0,2.0,579.0,126,1960.0,Whitehorse City Council,-37.83831,145.13985,Eastern Metropolitan,4387.0,Carport,1264000.0
Pascoe Vale,16 Stennis St,4,h,S,Nelson,4/3/2017,9.9,3044.0,4.0,2.0,2.0,686.0,135,1950.0,Moreland City Council,-37.731,144.9486,Northern Metropolitan,7485.0,Outdoor Stall,955000.0
Brunswick West,2/243 Union St,2,t,VB,Nelson,15/10/2016,5.9,3055.0,2.0,1.0,1.0,0.0,82,1970.0,Moreland City Council,-37.772,144.9406,Northern Metropolitan,7082.0,Detached Garage,680000.0
Wantirna,39 Clarence Rd,4,h,S,Jellis,6/1/2018,14.7,3152.0,4.0,2.0,2.0,858.0,142,1965.0,Knox City Council,-37.84244,145.22321,Eastern Metropolitan,5424.0,Parkade,975000.0
Armadale,1/403 Dandenong Rd,2,u,S,hockingstuart,27/06/2016,6.3,3143.0,1.0,1.0,1.0,0.0,76,1970.0,Stonnington City Council,-37.8618,145.0183,Southern Metropolitan,4836.0,Outdoor Stall,520000.0
Bentleigh East,316 Chesterville Rd,2,h,VB,Buxton,23/09/2017,13.8,3165.0,2.0,1.0,2.0,597.0,115,1959.0,Glen Eira City Council,-37.93574,145.06169,Southern Metropolitan,10969.0,Detached Garage,1020000.0
Heidelberg Heights,19 Collins St,2,h,S,Haughton,16/04/2016,10.5,3081.0,2.0,1.0,3.0,620.0,85,1950.0,Banyule City Council,-37.7377,145.0541,Eastern Metropolitan,2947.0,Attached Garage,650000.0
Ascot Vale,57 The Parade,3,h,S,Nelson,16/04/2016,5.9,3032.0,3.0,3.0,1.0,491.0,127,1950.0,Moonee Valley City Council,-37.7727,144.9136,Western Metropolitan,6567.0,Detached Garage,940000.0
Ivanhoe East,44 Keam St,4,h,S,Fletchers,8/10/2016,9.0,3079.0,4.0,2.0,2.0,830.0,315,1950.0,Banyule City Council,-37.7679,145.0673,Eastern Metropolitan,1554.0,Parkade,1660000.0
Heidelberg,2/3 Andrews St,2,u,S,Stockdale,28/05/2016,10.6,3084.0,2.0,1.0,2.0,247.0,68,1974.0,Banyule City Council,-37.7502,145.069,Eastern Metropolitan,2890.0,Parkade,475000.0
Fitzroy,116 Leicester St,2,h,VB,Harrington,27/06/2016,1.6,3065.0,2.0,2.0,1.0,64.0,138,1995.0,Yarra City Council,-37.7956,144.9804,Northern Metropolitan,5825.0,Carport,800000.0
Brunswick East,271 Edward St,2,h,S,Nelson,3/6/2017,4.0,3057.0,2.0,1.0,2.0,173.0,79,1890.0,Moreland City Council,-37.77524,144.97529,Northern Metropolitan,5533.0,Parkade,1105000.0
Essendon,13 Levien St,4,h,S,Frank,18/11/2017,7.5,3040.0,4.0,2.0,3.0,766.0,277,1920.0,Moonee Valley City Council,-37.7585,144.9122,Western Metropolitan,9264.0,Detached Garage,2455000.0
Keilor,37 Parramatta Rd,4,h,S,Nelson,8/7/2017,14.5,3036.0,4.0,2.0,2.0,531.0,138,1975.0,Brimbank City Council,-37.71368,144.82082,Western Metropolitan,2339.0,Carport,635000.0
Thomastown,3 Bates Av,3,h,S,Love,24/02/2018,15.3,3074.0,3.0,1.0,1.0,540.0,104,1960.0,Whittlesea City Council,-37.68053,145.03616,Northern Metropolitan,7955.0,Carport,627000.0
Westmeadows,7 Pershore Ct,3,h,SP,Barry,21/10/2017,16.5,3049.0,3.0,1.0,2.0,468.0,104,1980.0,Hume City Council,-37.68047,144.88503,Northern Metropolitan,2474.0,Carport,570000.0
Port Melbourne,39 Heath St,2,h,SP,Cayzer,14/05/2016,3.8,3207.0,2.0,1.0,0.0,124.0,70,1900.0,Melbourne City Council,-37.8356,144.9439,Southern Metropolitan,8648.0,Parkade,900000.0
Keilor East,15 Craig St,3,h,S,Nelson,10/12/2016,12.8,3033.0,3.0,1.0,2.0,584.0,123,1980.0,Brimbank City Council,-37.7435,144.8798,Western Metropolitan,5629.0,Underground,880000.0
Brunswick,3/30 Heller St,2,t,S,Jellis,25/02/2017,5.2,3056.0,2.0,2.0,1.0,156.0,87,2007.0,Moreland City Council,-37.7744,144.9498,Northern Metropolitan,11918.0,Carport,801000.0
McKinnon,41 McKinnon Rd,2,h,SP,Buxton,12/8/2017,11.4,3204.0,2.0,1.0,2.0,397.0,96,1940.0,Glen Eira City Council,-37.90978,145.02937,Southern Metropolitan,2397.0,Parkade,1200000.0
Melton South,38 Andrew St,3,h,S,PRDNationwide,10/3/2018,29.8,3338.0,3.0,1.0,1.0,570.0,105,1980.0,Melton City Council,-37.69648,144.57923,Western Victoria,4718.0,Underground,380000.0
Malvern,5a Ewart St,3,h,S,Marshall,27/06/2016,7.4,3144.0,3.0,2.0,1.0,246.0,106,1910.0,Stonnington City Council,-37.871,145.0364,Southern Metropolitan,4675.0,Detached Garage,1970000.0
Cranbourne,48 Majestic Bvd,5,h,SP,O'Brien,26/08/2017,34.7,3977.0,5.0,3.0,2.0,528.0,204,2006.0,Casey City Council,-38.08902,145.29006,South-Eastern Metropolitan,7680.0,Detached Garage,720008.0
Collingwood,6/13 Alexander St,1,u,SP,Jellis,8/7/2017,2.0,3066.0,1.0,1.0,0.0,0.0,46,1960.0,Yarra City Council,-37.79597,144.99108,Northern Metropolitan,4553.0,Carport,365000.0
Ashwood,4/36 Queens Pde,2,u,S,Noel,18/03/2017,12.2,3147.0,2.0,1.0,1.0,153.0,80,1970.0,Monash City Council,-37.8696,145.0962,Southern Metropolitan,2894.0,Indoor,600000.0
North Melbourne,24/302 Abbotsford St,2,u,S,Jellis,3/12/2016,2.3,3051.0,2.0,1.0,1.0,0.0,65,1970.0,Melbourne City Council,-37.7994,144.9464,Northern Metropolitan,6821.0,Carport,540000.0
Epping,8 Shields St,3,h,S,HAR,29/07/2017,19.6,3076.0,3.0,2.0,1.0,390.0,147.0,2007.0,Whittlesea City Council,-37.62882,145.00979,Northern Metropolitan,10926.0,Indoor,560000.0
Reservoir,7 East St,3,h,S,hockingstuart,6/1/2018,12.0,3073.0,3.0,2.0,2.0,186.0,118,2014.0,Darebin City Council,-37.72156,145.01103,Northern Metropolitan,21650.0,Attached Garage,810000.0
Caulfield South,3/178 Sycamore St,2,u,S,hockingstuart,29/04/2017,9.3,3162.0,2.0,1.0,1.0,0.0,61.0,1960.0,Glen Eira City Council,-37.8906,145.0259,Southern Metropolitan,5051.0,Detached Garage,490000.0
Templestowe Lower,34 Parker St,3,h,PI,Barry,18/03/2017,13.8,3107.0,3.0,1.0,1.0,794.0,134,1960.0,Manningham City Council,-37.7569,145.1179,Eastern Metropolitan,5420.0,Detached Garage,1210000.0
Glenroy,2/36 Prospect St,4,t,S,YPA,18/03/2017,13.0,3046.0,4.0,3.0,2.0,0.0,131,2014.0,Moreland City Council,-37.7102,144.9112,Northern Metropolitan,8870.0,Parkade,607000.0
Werribee,21 Selbourne Av,4,h,S,Burns,6/1/2018,14.7,3030.0,4.0,2.0,2.0,742.0,177,2000.0,Wyndham City Council,-37.87348,144.6637,Western Metropolitan,16166.0,Indoor,552000.0
Brunswick,105 Dawson St,2,h,PI,Jellis,19/11/2016,5.2,3056.0,2.0,1.0,1.0,298.0,88,1910.0,Moreland City Council,-37.7704,144.9504,Northern Metropolitan,11918.0,Detached Garage,860000.0
Port Melbourne,2/2 Graham St,2,u,VB,Greg,4/6/2016,3.8,3207.0,2.0,1.0,1.0,0.0,74,2005.0,Melbourne City Council,-37.8424,144.9449,Southern Metropolitan,8648.0,Parkade,600000.0
Hawthorn,8B Myrtle St,2,t,S,Jellis,27/11/2016,4.6,3122.0,2.0,2.0,1.0,191.0,151,1975.0,Boroondara City Council,-37.813,145.0167,Southern Metropolitan,11308.0,Carport,1055000.0
Fairfield,10 Rathmines St,3,h,SP,Jellis,24/02/2018,5.7,3078.0,3.0,2.0,1.0,324.0,165,1950.0,Darebin City Council,-37.78265,145.01498,Northern Metropolitan,2970.0,Detached Garage,1275000.0
Mount Waverley,11 Rosaline Av,3,h,S,Buxton,7/10/2017,14.2,3149.0,3.0,1.0,2.0,676.0,132,1965.0,Monash City Council,-37.87148,145.12866,Eastern Metropolitan,13366.0,Outdoor Stall,1470000.0
Burwood,37 Haig St,3,h,SP,Jellis,20/05/2017,11.7,3125.0,3.0,2.0,4.0,862.0,179.3,1950.0,Monash City Council,-37.8603,145.0979,Southern Metropolitan,5678.0,Carport,1590000.0
Balwyn North,27 Highview Rd,3,h,VB,Jellis,14/10/2017,9.7,3104.0,3.0,1.0,2.0,622.0,154,1952.0,Boroondara City Council,-37.78144,145.07996,Southern Metropolitan,7809.0,Indoor,1500000.0
Richmond,50B Duke St,3,h,S,Biggin,10/12/2016,2.6,3121.0,3.0,2.0,1.0,120.0,126,2010.0,Yarra City Council,-37.8243,145.0034,Northern Metropolitan,14949.0,Carport,1250000.0
Middle Park,123 Hambleton St,3,h,S,Greg,24/02/2018,3.0,3206.0,3.0,2.0,1.0,108.0,169,1890.0,Port Phillip City Council,-37.84812,144.9624,Southern Metropolitan,2019.0,Detached Garage,1720000.0
Fitzroy North,201A Clauscen St,3,h,S,Holland,10/12/2016,3.5,3068.0,3.0,1.0,0.0,275.0,116,1915.0,Moreland City Council,-37.7779,144.9862,Northern Metropolitan,6244.0,Attached Garage,1286000.0
Keilor Downs,4 Gidgee Ct,3,h,S,Barry,6/1/2018,15.5,3038.0,3.0,2.0,4.0,652.0,110,1990.0,Brimbank City Council,-37.72573,144.81719,Western Metropolitan,3656.0,Parkade,670000.0
Elwood,2/509 St Kilda St,3,h,S,hockingstuart,12/11/2016,7.7,3184.0,3.0,2.0,1.0,75.0,122,2002.0,Port Phillip City Council,-37.8843,144.9917,Southern Metropolitan,8989.0,Attached Garage,878500.0
Meadow Heights,23 Goodenia Cl,3,h,S,YPA,8/7/2017,17.4,3048.0,3.0,1.0,2.0,570.0,112,1992.0,Hume City Council,-37.64769,144.91359,Northern Metropolitan,4704.0,Underground,440000.0
Coburg North,7 Albert St,4,h,PI,Brad,24/02/2018,6.7,3058.0,4.0,1.0,1.0,610.0,106,1950.0,Darebin City Council,-37.71984,144.96735,Northern Metropolitan,3445.0,Parkade,745000.0
Fawkner,34a Preston St,3,h,S,hockingstuart,24/09/2016,12.4,3060.0,3.0,2.0,2.0,297.0,133,2012.0,Hume City Council,-37.6994,144.9686,Northern Metropolitan,5070.0,Indoor,631000.0
Donvale,2/9 Standring Cl,3,h,S,Barry,19/08/2017,16.1,3111.0,3.0,2.0,2.0,243.0,150,2012.0,Manningham City Council,-37.78298,145.17682,Eastern Metropolitan,4790.0,Underground,988000.0
Sandringham,50 Bamfield St,4,h,S,hockingstuart,9/9/2017,15.2,3191.0,4.0,2.0,1.0,722.0,318,1890.0,Bayside City Council,-37.94804,145.00756,Southern Metropolitan,4497.0,Carport,2700000.0
Wyndham Vale,34 Honour Av,3,h,S,hockingstuart,7/10/2017,27.2,3024.0,3.0,1.0,1.0,555.0,103,1980.0,Wyndham City Council,-37.8928,144.62336,Western Metropolitan,5262.0,Outdoor Stall,457000.0
Brunswick,215/1 Dods St,3,u,S,Jellis,16/07/2016,5.2,3056.0,3.0,1.0,1.0,0.0,85,2000.0,Moreland City Council,-37.773,144.9624,Northern Metropolitan,11918.0,Outdoor Stall,1044000.0
Templestowe Lower,11 Oak Cr,5,h,S,McGrath,11/11/2017,12.4,3107.0,5.0,3.0,3.0,669.0,225,1980.0,Manningham City Council,-37.7691,145.1202,Eastern Metropolitan,5420.0,Attached Garage,1506000.0
Reservoir,4/1 Ashley St,2,u,S,Love,7/11/2016,11.2,3073.0,2.0,1.0,1.0,146.0,84,1980.0,Darebin City Council,-37.719,145.0014,Northern Metropolitan,21650.0,Indoor,427500.0
Brunswick East,94 Barkly St,4,h,S,Nelson,6/8/2016,4.5,3057.0,4.0,1.0,1.0,233.0,204,1890.0,Moreland City Council,-37.7776,144.9727,Northern Metropolitan,5533.0,Carport,1815000.0
Ascot Vale,2/41 Sandown Rd,3,t,S,Alexkarbon,22/07/2017,4.3,3032.0,3.0,1.0,2.0,159.0,129,2011.0,Moonee Valley City Council,-37.78329,144.91842,Western Metropolitan,6567.0,Indoor,855000.0
Dallas,15 Mildura Cr,3,h,PI,Stockdale,18/11/2017,14.0,3047.0,3.0,1.0,1.0,588.0,94,1960.0,Hume City Council,-37.667,144.9366,Northern Metropolitan,2246.0,Parkade,475000.0
Flemington,80 Dover St,3,t,S,Jellis,19/08/2017,3.4,3031.0,3.0,2.0,2.0,459.0,153,2003.0,Melbourne City Council,-37.78273,144.92358,Northern Metropolitan,3593.0,Indoor,1017500.0
Preston,5 Kenneth St,3,h,S,RW,9/12/2017,8.4,3072.0,3.0,1.0,4.0,489.0,155,1950.0,Darebin City Council,-37.74138,145.02029,Northern Metropolitan,14577.0,Outdoor Stall,1081000.0
Coburg,1/51 The Grove,2,h,S,Jellis,27/06/2016,7.8,3058.0,2.0,1.0,1.0,0.0,13,1969.0,Darebin City Council,-37.7519,144.9721,Northern Metropolitan,11204.0,Detached Garage,605000.0
Doncaster,46 Winston Dr,4,h,S,Philip,18/06/2016,13.9,3108.0,4.0,3.0,2.0,654.0,160,1969.0,Manningham City Council,-37.7795,145.1294,Eastern Metropolitan,9028.0,Detached Garage,1462500.0
Waterways,22 Broadwater Dr,4,h,SP,Ray,9/9/2017,21.5,3195.0,4.0,2.0,2.0,620.0,244,2004.0,Kingston City Council,-38.01345,145.1342,South-Eastern Metropolitan,709.0,Detached Garage,1232000.0
Camberwell,20 Morey St,4,h,S,The,24/02/2018,7.7,3124.0,4.0,4.0,4.0,1071.0,209,1950.0,Boroondara City Council,-37.84136,145.09452,Southern Metropolitan,8920.0,Carport,2700000.0
Heidelberg Heights,15 Outhwaite Rd,4,h,S,Miles,12/11/2016,10.5,3081.0,4.0,2.0,2.0,724.0,161,1960.0,Banyule City Council,-37.7404,145.0582,Eastern Metropolitan,2947.0,Indoor,1086000.0
Mernda,4 Jane Ct,3,h,SP,RW,24/02/2018,25.9,3754.0,3.0,1.0,4.0,604.0,102,1980.0,Whittlesea City Council,-37.59517,145.1041,Northern Metropolitan,5812.0,Parking Pad,585000.0
Balaclava,3/33 Gourlay St,2,u,VB,McGrath,27/06/2016,6.6,3183.0,2.0,1.0,1.0,483.0,51,1970.0,Port Phillip City Council,-37.8727,144.9969,Southern Metropolitan,2952.0,Parkade,540000.0
Mooroolbark,32 Churchill Dr,3,h,SP,Fletchers,3/6/2017,26.5,3138.0,3.0,2.0,2.0,947.0,104,1978.0,Yarra Ranges Shire Council,-37.76517,145.3298,Eastern Victoria,8280.0,Detached Garage,730000.0
Caroline Springs,4 Wavertree Av,3,h,PI,YPA,17/02/2018,14.8,3023.0,3.0,2.0,2.0,528.0,185,2000.0,Melton City Council,-37.73998,144.72995,Western Metropolitan,7719.0,Detached Garage,580000.0
Brighton,8/35 Normanby St,2,u,S,Buxton,15/10/2016,11.2,3186.0,2.0,1.0,1.0,0.0,80,1920.0,Bayside City Council,-37.9112,144.9909,Southern Metropolitan,10579.0,Detached Garage,756000.0
West Footscray,12 Stonemark Ct,3,h,S,Biggin,11/2/2017,8.2,3012.0,3.0,1.0,1.0,412.0,162,1980.0,Maribyrnong City Council,-37.7941,144.881,Western Metropolitan,5058.0,Underground,910000.0
St Kilda,14/89 Fitzroy St,1,u,VB,Gary,7/5/2016,6.1,3182.0,1.0,1.0,1.0,0.0,53,1998.0,Port Phillip City Council,-37.8605,144.9769,Southern Metropolitan,13240.0,Underground,400000.0
St Kilda,21/352 Canterbury Rd,2,u,SP,Whiting,27/11/2016,6.1,3182.0,2.0,2.0,2.0,0.0,104,2000.0,Port Phillip City Council,-37.859,144.9767,Southern Metropolitan,13240.0,Detached Garage,500000.0
Mulgrave,18 Vincent St,4,h,S,Woodards,17/06/2017,18.8,3170.0,4.0,2.0,4.0,726.0,165,1960.0,Monash City Council,-37.93058,145.16308,South-Eastern Metropolitan,7113.0,Detached Garage,902000.0
Carnegie,1/17 Cosy Gum Rd,2,u,S,Thomson,8/7/2017,10.1,3163.0,2.0,1.0,2.0,0.0,85,1970.0,Glen Eira City Council,-37.88368,145.0515,Southern Metropolitan,7822.0,Indoor,750000.0
Kew East,106 Kilby Rd,5,h,VB,hockingstuart,4/6/2016,7.5,3102.0,5.0,2.0,3.0,711.0,253,1940.0,Boroondara City Council,-37.7923,145.0528,Southern Metropolitan,2671.0,Detached Garage,1950000.0
Richmond,9 Type St,4,h,PI,Biggin,18/03/2017,2.6,3121.0,4.0,2.0,0.0,0.0,171,1900.0,Yarra City Council,-37.8206,145.0099,Northern Metropolitan,14949.0,Outdoor Stall,1510000.0
Prahran,7 MacKay St,3,t,S,Jellis,23/09/2017,4.6,3181.0,3.0,2.0,2.0,15.0,147,1998.0,Stonnington City Council,-37.84969,145.00057,Southern Metropolitan,7717.0,Detached Garage,1463000.0
Ivanhoe,52 Myrtle St,3,h,VB,Miles,9/12/2017,7.8,3079.0,3.0,3.0,2.0,236.0,161,2014.0,Banyule City Council,-37.75479,145.05266,Eastern Metropolitan,5549.0,Carport,1200000.0
Surrey Hills,17 Weybridge St,3,h,S,Fletchers,27/06/2016,11.2,3127.0,3.0,2.0,1.0,735.0,219,1920.0,Boroondara City Council,-37.8182,145.096,Southern Metropolitan,5457.0,Carport,2300000.0
Surrey Hills,2/23 Clyde St,2,u,VB,Noel,27/11/2016,11.2,3127.0,2.0,1.0,2.0,124.0,80,1985.0,Boroondara City Council,-37.8159,145.0902,Southern Metropolitan,5457.0,Indoor,600000.0
Brunswick West,16 Bakers Pde,4,h,PI,Nelson,30/07/2016,5.9,3055.0,4.0,3.0,2.0,499.0,150.0,1925.0,Moreland City Council,-37.7538,144.944,Northern Metropolitan,7082.0,Detached Garage,970000.0
