Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longitude,Regionname,Propertycount,ParkingArea,Price
Parkdale,46 Davey St,3,h,S,Buxton,17/06/2017,21.5,3195.0,3.0,2.0,2.0,454.0,122,1950.0,Kingston City Council,-37.99443,145.0885,South-Eastern Metropolitan,5087.0,Outdoor Stall,940000.0
Parkdale,22 Keith St,4,h,SP,Buxton,17/06/2017,21.5,3195.0,4.0,2.0,2.0,597.0,150,1970.0,Kingston City Council,-37.99232,145.08469,South-Eastern Metropolitan,5087.0,Parking Pad,1300000.0
Pascoe Vale,21 Stennis St,3,h,S,Nelson,17/06/2017,8.5,3044.0,3.0,2.0,4.0,689.0,165.5,1950.0,Moreland City Council,-37.73072,144.94829,Northern Metropolitan,7485.0,Carport,1199000.0
Prahran,104/27 Macquarie St,1,u,SP,Castran,17/06/2017,4.6,3181.0,1.0,1.0,1.0,0.0,44,2015.0,Stonnington City Council,-37.85012,144.99225,Southern Metropolitan,7717.0,Carport,440000.0
Prahran,135 Williams Rd,4,h,VB,RT,17/06/2017,4.6,3181.0,4.0,2.0,2.0,291.0,263.5,1890.0,Stonnington City Council,-37.84961,145.00248,Southern Metropolitan,7717.0,Indoor,2300000.0
Preston,196 Raglan St,4,h,PI,McGrath,17/06/2017,8.4,3072.0,4.0,1.0,1.0,313.0,113,1950.0,Darebin City Council,-37.74955,145.00949,Northern Metropolitan,14577.0,Indoor,840000.0
Reservoir,3/36 Crookston Rd,3,u,S,Barry,17/06/2017,12.0,3073.0,3.0,1.0,1.0,178.0,100,2009.0,Darebin City Council,-37.70985,145.02073,Northern Metropolitan,21650.0,Detached Garage,510000.0
Reservoir,36 Sturdee St,3,h,PI,Barry,17/06/2017,12.0,3073.0,3.0,1.0,2.0,893.0,103,1940.0,Darebin City Council,-37.69964,145.00945,Northern Metropolitan,21650.0,Indoor,780000.0
Richmond,10 Campbell St,2,h,S,Biggin,17/06/2017,2.4,3121.0,2.0,1.0,1.0,110.0,72,1890.0,Yarra City Council,-37.82324,145.01331,Northern Metropolitan,14949.0,Detached Garage,1275000.0
Richmond,51 Garfield St,3,h,S,Biggin,17/06/2017,2.4,3121.0,3.0,2.0,2.0,134.0,149,2007.0,Yarra City Council,-37.81186,144.99472,Northern Metropolitan,14949.0,Indoor,1120000.0
Richmond,17/47 Mary St,3,h,S,Biggin,17/06/2017,2.4,3121.0,3.0,2.0,1.0,105.0,110,1997.0,Yarra City Council,-37.82146,145.00203,Northern Metropolitan,14949.0,Detached Garage,1190000.0
Richmond,7 Wiltshire St,3,h,S,Marshall,17/06/2017,2.4,3121.0,3.0,3.0,3.0,81.0,81,2000.0,Yarra City Council,-37.82622,144.99879,Northern Metropolitan,14949.0,Indoor,1425000.0
Ringwood East,7 Highton St,4,h,S,Barry,17/06/2017,21.3,3135.0,4.0,2.0,1.0,842.0,135,1960.0,Maroondah City Council,-37.81109,145.25738,Eastern Metropolitan,4407.0,Indoor,1175000.0
Ringwood North,2/22 Avalon Gr,3,h,SP,Carter,17/06/2017,19.9,3134.0,3.0,2.0,2.0,306.0,127,1997.0,Manningham City Council,-37.80384,145.22562,Eastern Metropolitan,3619.0,Outdoor Stall,755000.0
Rowville,15 Ada St,4,h,SP,Jellis,17/06/2017,23.5,3178.0,4.0,2.0,2.0,502.0,320,2003.0,Knox City Council,-37.92985,145.25184,South-Eastern Metropolitan,11667.0,Parkade,1005800.0
Skye,20 Overall Dr,4,h,SP,Ray,17/06/2017,34.7,3977.0,4.0,2.0,1.0,534.0,152,2002.0,Frankston City Council,-38.09083,145.20139,South-Eastern Metropolitan,2756.0,Carport,555698.0
South Melbourne,1403/38 Bank St,3,u,S,Greg,17/06/2017,1.9,3205.0,3.0,2.0,3.0,0.0,113,2001.0,Port Phillip City Council,-37.83185,144.96817,Southern Metropolitan,5943.0,Detached Garage,1250000.0
South Melbourne,17/39 Dorcas St,1,h,S,Greg,17/06/2017,1.9,3205.0,1.0,1.0,1.0,0.0,53,2000.0,Port Phillip City Council,-37.83087,144.96864,Southern Metropolitan,5943.0,Parkade,407500.0
Southbank,61/120 Sturt St,2,u,S,Greg,17/06/2017,0.7,3006.0,2.0,1.0,1.0,8888.0,77,1994.0,Melbourne City Council,-37.82481,144.96669,Southern Metropolitan,8400.0,Outdoor Stall,642500.0
St Albans,46A Collins St,3,t,S,Ray,17/06/2017,14.0,3021.0,3.0,1.0,1.0,160.0,129,2000.0,Brimbank City Council,-37.73915,144.80289,Western Metropolitan,14042.0,Attached Garage,460000.0
St Albans,2/52 Walter St,3,u,S,Sweeney,17/06/2017,14.0,3021.0,3.0,1.0,1.0,388.0,95,1992.0,Brimbank City Council,-37.73163,144.80697,Western Metropolitan,14042.0,Parkade,500000.0
Sunbury,27 Holloway Cl,3,h,SP,Raine,17/06/2017,31.7,3429.0,3.0,1.0,6.0,639.0,120,1990.0,Hume City Council,-37.56291,144.72848,Western Metropolitan,14092.0,Carport,455000.0
Sunshine,65 Devonshire Rd,3,h,VB,GL,17/06/2017,10.5,3020.0,3.0,1.0,2.0,459.0,114,1970.0,Brimbank City Council,-37.78519,144.83651,Western Metropolitan,3755.0,Indoor,810000.0
Surrey Hills,2/52 Barton St,2,u,S,hockingstuart,17/06/2017,10.2,3127.0,2.0,1.0,1.0,1501.0,84,1960.0,Boroondara City Council,-37.81665,145.10043,Southern Metropolitan,5457.0,Attached Garage,807000.0
Sydenham,22 Contursi Dr,3,h,S,YPA,17/06/2017,18.0,3037.0,3.0,2.0,1.0,338.0,114,2000.0,Brimbank City Council,-37.705,144.75759,Western Metropolitan,3640.0,Indoor,471000.0
Taylors Hill,27 Lucas Tce,3,h,S,Barry,17/06/2017,18.0,3037.0,3.0,2.0,2.0,431.0,431,2008.0,Melton City Council,-37.7209,144.75053,Western Metropolitan,4242.0,Detached Garage,558000.0
Templestowe Lower,124 Swanston St,3,h,S,Barry,17/06/2017,12.4,3107.0,3.0,2.0,1.0,673.0,150,1965.0,Manningham City Council,-37.75965,145.09937,Eastern Metropolitan,5420.0,Indoor,1240000.0
Thornbury,1/24 Dundas St,2,t,S,Love,17/06/2017,7.0,3071.0,2.0,1.0,1.0,0.0,103,2010.0,Darebin City Council,-37.75267,145.00362,Northern Metropolitan,8870.0,Underground,756000.0
Viewbank,28 Kuranga Rd,3,h,SA,Nelson,17/06/2017,8.9,3084.0,3.0,2.0,2.0,541.0,540,1960.0,Banyule City Council,-37.73136,145.09562,Eastern Metropolitan,2698.0,Parkade,940000.0
Werribee,43 Stawell St,3,h,SP,YPA,17/06/2017,14.7,3030.0,3.0,2.0,2.0,1025.0,195,1970.0,Wyndham City Council,-37.90188,144.65138,Western Metropolitan,16166.0,Detached Garage,830000.0
Abbotsford,42 Valiant St,2,h,S,Biggin,17/09/2016,2.5,3067.0,2.0,1.0,1.0,150.0,73,1985.0,Yarra City Council,-37.8011,145.0004,Northern Metropolitan,4019.0,Detached Garage,890000.0
Airport West,6 Kittyhawk St,4,h,S,Brad,17/09/2016,13.5,3042.0,5.0,3.0,4.0,531.0,309,1980.0,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan,3464.0,Indoor,773000.0
Armadale,367 Dandenong Rd,6,h,S,Marshall,17/09/2016,6.3,3143.0,5.0,3.0,4.0,1491.0,516,1935.0,Stonnington City Council,-37.8602,145.013,Southern Metropolitan,4836.0,Attached Garage,5525000.0
Ascot Vale,67 Hurtle St,3,h,SP,Brad,17/09/2016,5.9,3032.0,3.0,2.0,2.0,617.0,149,1930.0,Moonee Valley City Council,-37.7742,144.906,Western Metropolitan,6567.0,Outdoor Stall,1180000.0
Ashwood,16 Scenic Dr,5,h,S,Buxton,17/09/2016,12.2,3147.0,5.0,3.0,2.0,585.0,317,2000.0,Monash City Council,-37.8637,145.1024,Southern Metropolitan,2894.0,Carport,1529500.0
Bentleigh,64 Tucker Rd,3,h,S,Buxton,17/09/2016,13.0,3204.0,3.0,2.0,1.0,581.0,170,1965.0,Glen Eira City Council,-37.9286,145.0495,Southern Metropolitan,6795.0,Attached Garage,1095000.0
Bentleigh East,26 Almurta Rd,3,h,S,hockingstuart,17/09/2016,13.9,3165.0,3.0,1.0,1.0,721.0,120,1970.0,Glen Eira City Council,-37.9244,145.0665,Southern Metropolitan,10969.0,Parkade,1200000.0
Bentleigh East,1/57 Brooks St,3,h,PI,Buxton,17/09/2016,13.9,3165.0,3.0,2.0,2.0,421.0,126,1950.0,Glen Eira City Council,-37.9168,145.0809,Southern Metropolitan,10969.0,Parking Pad,780000.0
Bentleigh East,48a Celia St,4,t,PI,Buxton,17/09/2016,13.9,3165.0,4.0,2.0,2.0,314.0,231,2010.0,Glen Eira City Council,-37.9299,145.0598,Southern Metropolitan,10969.0,Carport,1250000.0
Bentleigh East,8 Leo St,4,h,S,Buxton,17/09/2016,13.9,3165.0,4.0,2.0,2.0,583.0,176,1960.0,Glen Eira City Council,-37.9262,145.0624,Southern Metropolitan,10969.0,Parkade,1110000.0
Bentleigh East,11 Moylan St,4,h,S,Gary,17/09/2016,13.9,3165.0,4.0,2.0,2.0,700.0,165,1950.0,Glen Eira City Council,-37.9117,145.0534,Southern Metropolitan,10969.0,Outdoor Stall,1690000.0
Box Hill,12 Barcelona St,4,h,S,Allens,17/09/2016,13.1,3128.0,3.0,2.0,2.0,780.0,235,1927.0,Whitehorse City Council,-37.8244,145.1319,Eastern Metropolitan,4605.0,Indoor,1461400.0
Box Hill,2/4 Collins St,3,u,S,Fletchers,17/09/2016,13.1,3128.0,3.0,1.0,1.0,211.0,108,1980.0,Whitehorse City Council,-37.8275,145.1232,Eastern Metropolitan,4605.0,Parkade,775000.0
Box Hill,33 Pendle St,4,h,S,Noel,17/09/2016,13.1,3128.0,4.0,4.0,4.0,707.0,162,1926.0,Whitehorse City Council,-37.8166,145.1354,Eastern Metropolitan,4605.0,Carport,1670000.0
Braybrook,80 South Rd,4,h,VB,Biggin,17/09/2016,10.8,3019.0,4.0,2.0,1.0,283.0,154,1990.0,Maribyrnong City Council,-37.7908,144.8485,Western Metropolitan,3589.0,Attached Garage,610000.0
Brighton,22 Champion St,3,h,S,HAR,17/09/2016,11.2,3186.0,4.0,2.0,2.0,547.0,302,2000.0,Bayside City Council,-37.9271,145.0034,Southern Metropolitan,10579.0,Parkade,2375000.0
Brighton,679 Hampton St,3,h,S,Buxton,17/09/2016,11.2,3186.0,3.0,1.0,2.0,426.0,120,1935.0,Bayside City Council,-37.9254,145.0045,Southern Metropolitan,10579.0,Attached Garage,1385000.0
Brighton East,38 Agnew St,3,h,S,hockingstuart,17/09/2016,10.7,3187.0,4.0,3.0,2.0,435.0,228,1915.0,Bayside City Council,-37.91,145.0113,Southern Metropolitan,6938.0,Outdoor Stall,1710000.0
Brighton East,1/2 Robinson St,3,t,PI,Buxton,17/09/2016,10.7,3187.0,3.0,2.0,2.0,337.0,222,2000.0,Bayside City Council,-37.9196,145.0205,Southern Metropolitan,6938.0,Indoor,1300000.0
Brunswick,154 Brunswick Rd,3,h,SP,Nelson,17/09/2016,5.2,3056.0,3.0,1.0,1.0,239.0,126,1910.0,Moreland City Council,-37.7776,144.963,Northern Metropolitan,11918.0,Carport,1050000.0
Brunswick,2 Chambers St,3,h,S,Nelson,17/09/2016,5.2,3056.0,3.0,2.0,3.0,470.0,152,1920.0,Moreland City Council,-37.7788,144.9688,Northern Metropolitan,11918.0,Detached Garage,1691500.0
Brunswick,54 Davies St,2,h,PI,Jellis,17/09/2016,5.2,3056.0,2.0,1.0,0.0,311.0,108,1930.0,Moreland City Council,-37.7572,144.9687,Northern Metropolitan,11918.0,Attached Garage,1075000.0
Burwood,1/46 Gillard St,3,h,S,Ray,17/09/2016,11.7,3125.0,3.0,1.0,1.0,384.0,112,1950.0,Monash City Council,-37.8542,145.1138,Southern Metropolitan,5678.0,Carport,570000.0
Burwood,4 Iris St,5,h,S,RW,17/09/2016,11.7,3125.0,5.0,4.0,2.0,643.0,380,2014.0,Monash City Council,-37.8454,145.0974,Southern Metropolitan,5678.0,Underground,2150000.0
Burwood,8/33 McIntyre St,3,u,S,Buxton,17/09/2016,11.7,3125.0,3.0,1.0,2.0,308.0,92,1995.0,Monash City Council,-37.8505,145.1065,Southern Metropolitan,5678.0,Outdoor Stall,746000.0
Burwood,19 Puerta St,3,h,S,Jellis,17/09/2016,11.7,3125.0,3.0,2.0,2.0,653.0,120,1950.0,Monash City Council,-37.8445,145.1011,Southern Metropolitan,5678.0,Attached Garage,1540000.0
Camberwell,2/25 Hazel St,2,u,S,Jellis,17/09/2016,7.8,3124.0,2.0,1.0,1.0,150.0,88,1970.0,Boroondara City Council,-37.8438,145.066,Southern Metropolitan,8920.0,Indoor,900000.0
Camberwell,18 Middle Rd,5,h,VB,Jellis,17/09/2016,7.8,3124.0,5.0,3.0,2.0,802.0,317,1994.0,Boroondara City Council,-37.8442,145.0578,Southern Metropolitan,8920.0,Carport,2700000.0
Camberwell,8/1277 Toorak Rd,2,u,PI,Ross,17/09/2016,7.8,3124.0,2.0,1.0,1.0,0.0,76,1960.0,Boroondara City Council,-37.8491,145.086,Southern Metropolitan,8920.0,Indoor,530000.0
Canterbury,47 Warburton Rd,3,h,S,Fletchers,17/09/2016,9.0,3126.0,3.0,2.0,1.0,325.0,197,1910.0,Boroondara City Council,-37.826,145.0729,Southern Metropolitan,3265.0,Carport,1680000.0
Carnegie,2/59 Moonya Rd,3,u,SP,Woodards,17/09/2016,11.4,3163.0,3.0,2.0,1.0,283.0,250,2005.0,Glen Eira City Council,-37.8974,145.0622,Southern Metropolitan,7822.0,Indoor,920000.0
Coburg,4/93 Harding St,3,t,VB,Ray,17/09/2016,7.8,3058.0,3.0,2.0,2.0,0.0,109,2013.0,Darebin City Council,-37.7458,144.9751,Northern Metropolitan,11204.0,Underground,590000.0
Collingwood,6 Forest St,2,h,S,Jellis,17/09/2016,1.6,3066.0,2.0,1.0,0.0,188.0,107,1900.0,Yarra City Council,-37.7964,144.9923,Northern Metropolitan,4553.0,Parkade,981000.0
Collingwood,10/76 Oxford St,2,u,S,Biggin,17/09/2016,1.6,3066.0,2.0,1.0,1.0,0.0,92,1900.0,Yarra City Council,-37.8035,144.985,Northern Metropolitan,4553.0,Underground,683000.0
Doncaster,4 Benton Ct,3,h,PI,Jellis,17/09/2016,13.9,3108.0,3.0,2.0,1.0,728.0,150,1965.0,Manningham City Council,-37.7813,145.1318,Eastern Metropolitan,9028.0,Parking Pad,1250000.0
Doncaster,2 Louise Ct,3,h,S,Ray,17/09/2016,13.9,3108.0,3.0,1.0,1.0,827.0,100,1960.0,Manningham City Council,-37.7848,145.1029,Eastern Metropolitan,9028.0,Carport,1030000.0
Elwood,13/9 Milton St,2,u,SP,Biggin,17/09/2016,7.7,3184.0,2.0,2.0,1.0,0.0,104,1923.0,Port Phillip City Council,-37.8744,144.9888,Southern Metropolitan,8989.0,Underground,1122000.0
Essendon,49 Albion St,3,h,S,Barry,17/09/2016,8.0,3040.0,3.0,1.0,1.0,551.0,114,1950.0,Moonee Valley City Council,-37.7571,144.9335,Western Metropolitan,9264.0,Indoor,1134000.0
Fitzroy,431 George St,3,h,PI,Nelson,17/09/2016,1.6,3065.0,3.0,1.0,1.0,113.0,105,1890.0,Yarra City Council,-37.7966,144.9821,Northern Metropolitan,5825.0,Detached Garage,1250000.0
Footscray,8/33 Gordon St,1,u,S,Burnham,17/09/2016,6.4,3011.0,1.0,1.0,1.0,59.0,70,1965.0,Maribyrnong City Council,-37.7903,144.8899,Western Metropolitan,7570.0,Detached Garage,305000.0
Footscray,31 Southampton St,3,h,S,Burnham,17/09/2016,6.4,3011.0,3.0,2.0,2.0,322.0,228,1980.0,Maribyrnong City Council,-37.7963,144.8862,Western Metropolitan,7570.0,Attached Garage,860500.0
Glen Iris,116 High St,5,h,PI,Jellis,17/09/2016,9.2,3146.0,5.0,4.0,4.0,802.0,206,2013.0,Boroondara City Council,-37.8627,145.0719,Southern Metropolitan,10412.0,Attached Garage,2825000.0
Glen Iris,1 Maitland St,3,h,S,Jellis,17/09/2016,9.2,3146.0,4.0,2.0,4.0,885.0,217,1910.0,Boroondara City Council,-37.8577,145.0421,Southern Metropolitan,10412.0,Carport,2825000.0
Glenroy,1/112 Cardinal Rd,4,t,S,Raine,17/09/2016,13.0,3046.0,3.0,2.0,1.0,252.0,150,2014.0,Moreland City Council,-37.7006,144.9299,Northern Metropolitan,8870.0,Parkade,608000.0
Hampton,29 Thomas St,5,h,S,Marshall,17/09/2016,13.7,3188.0,3.0,2.0,2.0,830.0,204,1901.0,Bayside City Council,-37.9386,145.006,Southern Metropolitan,5454.0,Detached Garage,3075000.0
Hawthorn,2 Fordholm Rd,5,h,PI,Marshall,17/09/2016,4.6,3122.0,5.0,4.0,3.0,1275.0,435,1930.0,Boroondara City Council,-37.8291,145.0308,Southern Metropolitan,11308.0,Carport,4250000.0
Heidelberg West,29 Morotai Pde,4,h,S,Miles,17/09/2016,9.4,3081.0,4.0,1.0,1.0,632.0,152,1955.0,Banyule City Council,-37.7466,145.0428,Eastern Metropolitan,2674.0,Attached Garage,758000.0
Ivanhoe,44 Beatty St,5,h,S,Nelson,17/09/2016,7.9,3079.0,4.0,2.0,2.0,689.0,292,2007.0,Banyule City Council,-37.7591,145.04,Eastern Metropolitan,5549.0,Outdoor Stall,1730000.0
Kew,56 Cecil St,4,h,VB,Jellis,17/09/2016,5.6,3101.0,4.0,2.0,2.0,861.0,358,1983.0,Boroondara City Council,-37.8047,145.0534,Southern Metropolitan,10331.0,Parkade,2350000.0
Kew,21 Grandview Tce,4,h,VB,Kay,17/09/2016,5.6,3101.0,5.0,2.0,2.0,586.0,187,1940.0,Boroondara City Council,-37.7933,145.0343,Southern Metropolitan,10331.0,Attached Garage,1800000.0
Kew East,36 Belford Rd,4,h,SP,Nelson,17/09/2016,7.5,3102.0,4.0,2.0,2.0,458.0,200,1930.0,Boroondara City Council,-37.7981,145.0472,Southern Metropolitan,2671.0,Detached Garage,1315000.0
Kew East,2 Violet Gr,3,h,S,Jellis,17/09/2016,7.5,3102.0,3.0,2.0,4.0,611.0,160,1930.0,Boroondara City Council,-37.7997,145.058,Southern Metropolitan,2671.0,Parkade,1750000.0
Maidstone,2/32 Burns St,3,t,PI,Biggin,17/09/2016,9.2,3012.0,3.0,1.0,2.0,210.0,121,2012.0,Maribyrnong City Council,-37.7869,144.8749,Western Metropolitan,3873.0,Attached Garage,555000.0
Malvern East,2/25 Fisher St,3,t,S,Jellis,17/09/2016,11.2,3145.0,3.0,3.0,2.0,0.0,130,1988.0,Stonnington City Council,-37.8812,145.057,Southern Metropolitan,8801.0,Attached Garage,1135000.0
Maribyrnong,12 Newstead St,4,h,VB,Nelson,17/09/2016,8.7,3032.0,4.0,3.0,8.0,865.0,374,2013.0,Maribyrnong City Council,-37.7682,144.8971,Western Metropolitan,4918.0,Attached Garage,1900000.0
Moonee Ponds,38 Addison St,3,h,S,Alexkarbon,17/09/2016,6.9,3039.0,3.0,1.0,2.0,436.0,142,1910.0,Moonee Valley City Council,-37.7704,144.9292,Western Metropolitan,6232.0,Carport,1480000.0
Moonee Ponds,6/9 St James St,2,u,S,Brad,17/09/2016,6.9,3039.0,2.0,1.0,1.0,0.0,59,1970.0,Moonee Valley City Council,-37.7597,144.9188,Western Metropolitan,6232.0,Indoor,410000.0
Moorabbin,2 Margaret St,4,h,S,Woodards,17/09/2016,14.6,3189.0,4.0,3.0,2.0,743.0,171,1973.0,Kingston City Council,-37.9362,145.0442,Southern Metropolitan,2555.0,Parkade,1300000.0
Moorabbin,1 Otford Cl,3,h,S,Woodards,17/09/2016,14.6,3189.0,2.0,1.0,2.0,576.0,121,1940.0,Kingston City Council,-37.9363,145.0495,Southern Metropolitan,2555.0,Underground,975000.0
Niddrie,2 Kelvin Cl,4,h,S,Nelson,17/09/2016,11.2,3042.0,3.0,3.0,2.0,539.0,162,1976.0,Moonee Valley City Council,-37.7444,144.8847,Western Metropolitan,2291.0,Carport,1080000.0
North Melbourne,3 Murphy St,3,h,S,Jellis,17/09/2016,2.3,3051.0,2.0,1.0,0.0,232.0,93,1930.0,Melbourne City Council,-37.7977,144.9512,Northern Metropolitan,6821.0,Detached Garage,1470000.0
Northcote,83 Bastings St,3,h,S,Nelson,17/09/2016,5.5,3070.0,3.0,1.0,1.0,328.0,135,1920.0,Darebin City Council,-37.7745,145.0045,Northern Metropolitan,11364.0,Indoor,1300000.0
Northcote,4/140 Darebin Rd,3,u,SP,Jellis,17/09/2016,5.5,3070.0,3.0,1.0,2.0,150.0,119,2000.0,Darebin City Council,-37.7648,145.0098,Northern Metropolitan,11364.0,Parkade,810000.0
Oak Park,1 Jacaranda St,3,h,S,Stockdale,17/09/2016,11.5,3046.0,3.0,2.0,2.0,382.0,173,1960.0,Moreland City Council,-37.7152,144.9165,Northern Metropolitan,2651.0,Indoor,770000.0
Pascoe Vale,101 Northumberland Rd,3,t,S,Eview,17/09/2016,9.9,3044.0,3.0,3.0,1.0,205.0,107,1940.0,Moreland City Council,-37.7212,144.9326,Northern Metropolitan,7485.0,Parkade,600000.0
Pascoe Vale,2/42 Railway Pde,2,t,S,D'Aprano,17/09/2016,9.9,3044.0,2.0,1.0,1.0,110.0,91,2013.0,Moreland City Council,-37.7282,144.928,Northern Metropolitan,7485.0,Underground,510000.0
Port Melbourne,9 The Cove,3,h,S,Biggin,17/09/2016,3.8,3207.0,3.0,2.0,1.0,210.0,211,1999.0,Melbourne City Council,-37.8382,144.9272,Southern Metropolitan,8648.0,Attached Garage,1570000.0
Prahran,29 Murray St,2,h,VB,Beller,17/09/2016,4.5,3181.0,2.0,1.0,2.0,222.0,108,1930.0,Stonnington City Council,-37.8501,144.9995,Southern Metropolitan,7717.0,Outdoor Stall,1500000.0
Preston,3 Avondale Rd,3,h,S,Harcourts,17/09/2016,8.8,3072.0,3.0,2.0,1.0,479.0,121,1930.0,Darebin City Council,-37.7425,145.014,Northern Metropolitan,14577.0,Detached Garage,980000.0
Preston,3 Leopold St,2,h,S,Nelson,17/09/2016,8.8,3072.0,2.0,1.0,2.0,467.0,92,1950.0,Darebin City Council,-37.7345,144.9977,Northern Metropolitan,14577.0,Carport,886000.0
Preston,78 Miller St,3,h,PI,Harcourts,17/09/2016,8.8,3072.0,3.0,1.0,1.0,487.0,189,1925.0,Darebin City Council,-37.7511,144.9907,Northern Metropolitan,14577.0,Detached Garage,1080000.0
Reservoir,79 Darebin Bvd,3,h,S,Ray,17/09/2016,11.2,3073.0,3.0,1.0,1.0,456.0,94,1960.0,Darebin City Council,-37.7038,145.0281,Northern Metropolitan,21650.0,Detached Garage,622500.0
Reservoir,89 Darebin Bvd,4,h,S,Barry,17/09/2016,11.2,3073.0,3.0,2.0,2.0,834.0,129,2017.0,Darebin City Council,-37.704,145.0299,Northern Metropolitan,21650.0,Attached Garage,767500.0
Reservoir,15 Down St,3,h,PI,hockingstuart,17/09/2016,11.2,3073.0,3.0,1.0,2.0,464.0,125,1920.0,Darebin City Council,-37.7245,145.004,Northern Metropolitan,21650.0,Indoor,780000.0
Reservoir,18 Elizabeth Ct,3,h,S,Barry,17/09/2016,11.2,3073.0,3.0,2.0,1.0,618.0,149,1965.0,Darebin City Council,-37.6989,145.0212,Northern Metropolitan,21650.0,Parkade,668000.0
Richmond,18 Buckingham St,3,h,S,Biggin,17/09/2016,2.6,3121.0,3.0,3.0,1.0,58.0,60,2009.0,Yarra City Council,-37.8139,145.0012,Northern Metropolitan,14949.0,Indoor,900000.0
Richmond,36 Elm Gr,3,h,S,Marshall,17/09/2016,2.6,3121.0,3.0,1.0,3.0,210.0,118,1900.0,Yarra City Council,-37.8247,145.0001,Northern Metropolitan,14949.0,Carport,1695000.0
Richmond,6 Kennedy St,3,h,S,Nelson,17/09/2016,2.6,3121.0,3.0,1.0,1.0,301.0,110,1935.0,Yarra City Council,-37.8134,145.0055,Northern Metropolitan,14949.0,Attached Garage,1365000.0
Richmond,58 Rooney St,2,h,S,Biggin,17/09/2016,2.6,3121.0,2.0,1.0,2.0,200.0,90,1900.0,Yarra City Council,-37.8294,145.0029,Northern Metropolitan,14949.0,Attached Garage,1045000.0
Richmond,8 Survey St,4,h,S,Collins,17/09/2016,2.6,3121.0,4.0,2.0,1.0,263.0,145,1900.0,Yarra City Council,-37.8261,145.0127,Northern Metropolitan,14949.0,Carport,1591000.0
Seddon,5 Williamstown Rd,2,h,SP,Biggin,17/09/2016,6.6,3011.0,2.0,2.0,1.0,228.0,111,1930.0,Maribyrnong City Council,-37.8034,144.8855,Western Metropolitan,2417.0,Parkade,822500.0
South Melbourne,24 Lyell St,3,h,VB,Greg,17/09/2016,2.1,3205.0,3.0,2.0,1.0,108.0,125,1890.0,Port Phillip City Council,-37.8363,144.9509,Southern Metropolitan,5943.0,Carport,1250000.0
South Melbourne,248 Montague St,3,h,VB,Marshall,17/09/2016,2.1,3205.0,3.0,2.0,0.0,204.0,195,1890.0,Port Phillip City Council,-37.8357,144.9531,Southern Metropolitan,5943.0,Detached Garage,1650000.0
Spotswood,118 The Avenue,4,t,S,Jas,17/09/2016,7.7,3015.0,3.0,3.0,2.0,278.0,277,2015.0,Hobsons Bay City Council,-37.8261,144.8718,Western Metropolitan,1223.0,Detached Garage,840000.0
Strathmore,124 Woodland St,3,h,SP,McDonald,17/09/2016,9.7,3041.0,3.0,2.0,4.0,722.0,196,1950.0,Moonee Valley City Council,-37.7427,144.9226,Western Metropolitan,3284.0,Attached Garage,1500000.0
Sunshine,29 Benjamin St,2,h,S,Bells,17/09/2016,12.6,3020.0,2.0,1.0,2.0,204.0,77,1925.0,Brimbank City Council,-37.7938,144.8321,Western Metropolitan,3755.0,Indoor,611000.0
Surrey Hills,6 Alandale St,3,h,S,Marshall,17/09/2016,11.2,3127.0,3.0,2.0,1.0,247.0,145,2005.0,Boroondara City Council,-37.836,145.1046,Southern Metropolitan,5457.0,Parkade,1150000.0
Surrey Hills,2/215 Mont Albert Rd,2,t,S,Jellis,17/09/2016,11.2,3127.0,1.0,2.0,1.0,88.0,92,1997.0,Boroondara City Council,-37.819,145.0888,Southern Metropolitan,5457.0,Parking Pad,770500.0
Surrey Hills,7/92 Union Rd,2,u,PI,Noel,17/09/2016,11.2,3127.0,2.0,1.0,1.0,101.0,105,1975.0,Boroondara City Council,-37.8263,145.0962,Southern Metropolitan,5457.0,Attached Garage,600000.0
Thornbury,11 Clarendon St,3,h,SP,Jellis,17/09/2016,6.5,3071.0,2.0,2.0,1.0,417.0,159,1920.0,Darebin City Council,-37.7595,145.0017,Northern Metropolitan,8870.0,Underground,1400000.0
Thornbury,50 Leinster Gr,3,h,S,Nelson,17/09/2016,6.5,3071.0,3.0,1.0,1.0,562.0,156,1950.0,Darebin City Council,-37.7602,144.9878,Northern Metropolitan,8870.0,Carport,1110000.0
Thornbury,146 Rossmoyne St,3,h,VB,Nelson,17/09/2016,6.5,3071.0,3.0,2.0,1.0,345.0,345,1905.0,Darebin City Council,-37.7582,145.0094,Northern Metropolitan,8870.0,Detached Garage,1200000.0
Williamstown,4/54 Yarra St,2,u,SP,Williams,17/09/2016,8.0,3016.0,2.0,1.0,1.0,0.0,49,1970.0,Hobsons Bay City Council,-37.8504,144.8924,Western Metropolitan,6380.0,Attached Garage,375000.0
Yallambie,2 Debra Ct,3,h,S,hockingstuart,17/09/2016,15.0,3085.0,3.0,1.0,1.0,706.0,129,1970.0,Banyule City Council,-37.731,145.0811,Northern Metropolitan,1369.0,Underground,650000.0
